           Key (K_i)                Freq of Key K_i         Level of K_i                 Cumilative Sum

            ALTHOUGH                              1                    5            0.06097560975609756
                  AN                              3                    4             0.2073170731707317
                 AND                              1                    6             0.2804878048780488
        APPLICATIONS                              1                    5            0.34146341463414637
           ARBITRARY                              1                    6            0.41463414634146345
                 ARE                              1                    7                            0.5
                  AS                              2                    3             0.5731707317073171
                 CAN                              1                    6             0.6463414634146343
                CASE                              1                    5             0.7073170731707319
           CHARACTER                              1                    6              0.780487804878049
            COMPILER                              1                    4             0.8292682926829271
       CORRESPONDING                              1                    6             0.9024390243902443
                DATA                              1                    5             0.9634146341463419
              DELETE                              1                    6              1.036585365853659
        DICTIONARIES                              1                    2              1.060975609756098
          DICTIONARY                              1                    6             1.1341463414634152
             DYNAMIC                              1                    5             1.1951219512195128
           EFFECTIVE                              1                    6               1.26829268292683
             ELEMENT                              2                    4             1.3658536585365861
            ELEMENTS                              1                    6             1.4390243902439033
             EXAMPLE                              1                    5             1.5000000000000009
           EXTREMELY                              1                    6              1.573170731707318
                 FOR                              4                    3             1.7195121951219523
                HASH                              2                    4             1.8170731707317085
             HASHING                              1                    6             1.8902439024390256
         IDENTIFIERS                              1                    5             1.9512195121951232
        IMPLEMENTING                              1                    6             2.0243902439024404
                  IN                              6                    1             2.0975609756097575
              INSERT                              1                    6             2.1707317073170747
                  IS                              1                    5             2.2317073170731723
                KEYS                              1                    6             2.3048780487804894
            LANGUAGE                              2                    4             2.4024390243902456
              LINKED                              1                    6             2.4756097560975627
                LIST                              1                    5             2.5365853658536603
                LONG                              1                    6             2.6097560975609775
           MAINTAINS                              1                    3              2.646341463414636
                MANY                              1                    6              2.719512195121953
                  OF                              1                    5              2.780487804878051
                ONLY                              1                    6              2.853658536585368
          OPERATIONS                              1                    4              2.902439024390246
            PERFORMS                              1                    6              2.975609756097563
            PRACTICE                              1                    5              3.036585365853661
         PROGRAMMING                              1                    7             3.1219512195121975
             REQUIRE                              1                    6             3.1951219512195146
              SEARCH                              1                    7             3.2804878048780513
           SEARCHING                              2                    2             3.3292682926829293
                 SET                              1                    6             3.4024390243902465
             STRINGS                              1                    5              3.463414634146344
           STRUCTURE                              1                    7             3.5487804878048808
            SUPPORTS                              1                    6              3.621951219512198
              SYMBOL                              1                    7             3.7073170731707346
               TABLE                              3                    4              3.853658536585369
                TAKE                              1                    6              3.926829268292686
                THAT                              2                    5              4.048780487804881
                 THE                              4                    3              4.195121951219515
                TIME                              1                    5              4.256097560975612
                  TO                              1                    6              4.329268292682929
          TRANSLATES                              1                    4              4.378048780487807
                WELL                              1                    6              4.451219512195125
               WHICH                              1                    5              4.512195121951222
               WORST                              1                    6              4.585365853658539
